run,batch_size,hnsw_ef,query_count,top_k,recall_at_k,qps,wall_s
1,100,30,10000,10,0.88083,809.5792190392635,12.35209571197629
2,100,30,10000,10,0.88083,844.0156789552857,11.848121130140498
3,100,30,10000,10,0.88083,906.112523565075,11.036156923044473
4,100,30,10000,10,0.88083,906.8004737091734,11.027784270001575
5,100,30,10000,10,0.88083,929.5526746584342,10.757862650090829
6,100,30,10000,10,0.88083,966.1836934349166,10.349998730001971
7,100,30,10000,10,0.88083,937.8987504853069,10.66213170113042
8,100,30,10000,10,0.88083,948.6419678829926,10.541384777985513
9,100,30,10000,10,0.88083,964.566597534322,10.367350502870977
10,100,30,10000,10,0.88083,953.4894844298265,10.48779264301993
