scheme,scenario,run,nprobe,hnsw_ef,query_count,recall_at_k,qps,wall_s
hash,full,1,44,32,10000,0.88581,932.888751549233,10.719391763908789
hash,full,2,44,32,10000,0.88581,908.5633099268193,11.006387657020241
hash,full,3,44,32,10000,0.88581,919.4438347937728,10.876140142092481
hash,selective,1,44,32,10000,0.88581,425.2950716551072,23.513086951803416
hash,selective,2,44,32,10000,0.88581,433.5991528024836,23.062775688944384
hash,selective,3,44,32,10000,0.88581,425.77796005697616,23.486420007888228
kmeans,full,1,44,80,10000,0.90023,680.7367294416666,14.689966866048053
kmeans,full,2,44,80,10000,0.90023,670.1374369014133,14.92231212486513
kmeans,full,3,44,80,10000,0.90023,668.6390905958187,14.955751377157867
kmeans,selective,1,16,96,10000,0.88547,594.0417295687911,16.833834227873012
kmeans,selective,2,16,96,10000,0.88547,594.2140940102666,16.82895121606998
kmeans,selective,3,16,96,10000,0.88547,601.6092371132661,16.622085205977783
balanced_kmeans,full,1,44,64,10000,0.89799,741.0056155519595,13.495174382114783
balanced_kmeans,full,2,44,64,10000,0.89799,739.737793611547,13.518303493969142
balanced_kmeans,full,3,44,64,10000,0.89799,745.0083165311462,13.422668952960521
balanced_kmeans,selective,1,32,80,10000,0.89965,366.54883340288336,27.281494547845796
balanced_kmeans,selective,2,32,80,10000,0.89965,368.05776491593997,27.169648227049038
balanced_kmeans,selective,3,32,80,10000,0.89965,365.17879100780794,27.383846614975482
