ef_search_up,dynamic_ef_base,dynamic_ef_factor,qps,recall_at_10,avg_visited_shards,avg_total_hops,avg_l0_hops_per_visited_shard,avg_distance_computations,started_at_epoch
140.0,8.0,2.0,2380.97,0.85468,19.7202,667.079,32.6899,20365.7,1776412196.5768912
140.0,8.0,4.0,1895.81,0.89178,19.7202,975.742,54.8242,27623.8,1776412196.5768912
140.0,8.0,6.0,1562.14,0.91144,19.7202,1282.4,76.8855,34229.8,1776412196.5768912
140.0,8.0,8.0,1335.61,0.92408,19.7202,1587.9,98.9042,40381.7,1776412196.5768912
140.0,8.0,10.0,1166.58,0.93272,19.7202,1892.72,120.896,46181.9,1776412196.5768912
140.0,12.0,2.0,2234.25,0.86306,19.7202,753.263,37.0142,22982.6,1776412196.5768912
140.0,12.0,4.0,1763.89,0.89648,19.7202,1059.48,59.0383,30070.8,1776412196.5768912
140.0,12.0,6.0,1459.33,0.91494,19.7202,1364.79,81.0452,36566.4,1776412196.5768912
140.0,12.0,8.0,1256.81,0.92634,19.7202,1669.03,103.006,42622.3,1776412196.5768912
140.0,12.0,10.0,1117.25,0.93448,19.7202,1973.17,124.968,48350.4,1776412196.5768912
140.0,16.0,2.0,2037.55,0.86984,19.7202,836.726,41.2093,25458.8,1776412196.5768912
140.0,16.0,4.0,1640.58,0.90086,19.7202,1141.4,63.1713,32421.2,1776412196.5768912
140.0,16.0,6.0,1368.28,0.91756,19.7202,1445.61,85.1255,38815.8,1776412196.5768912
140.0,16.0,8.0,1199.98,0.92864,19.7202,1749.14,107.06,44797.0,1776412196.5768912
140.0,16.0,10.0,1072.83,0.93646,19.7202,2052.75,129.0,50467.6,1776412196.5768912
140.0,20.0,2.0,1878.93,0.87528,19.7202,918.508,45.3305,27839.0,1776412196.5768912
140.0,20.0,4.0,1531.3,0.90432,19.7202,1222.19,67.2446,34693.9,1776412196.5768912
140.0,20.0,6.0,1327.07,0.91974,19.7202,1525.22,89.1524,40997.2,1776412196.5768912
140.0,20.0,8.0,1153.77,0.9309,19.7202,1828.25,111.065,46915.0,1776412196.5768912
140.0,20.0,10.0,1028.06,0.9382,19.7202,2131.78,133.0,52536.9,1776412196.5768912
140.0,24.0,2.0,1755.83,0.88054,19.7202,998.693,49.374,30135.0,1776412196.5768912
140.0,24.0,4.0,1470.48,0.90738,19.7202,1301.44,71.2581,36887.9,1776412196.5768912
140.0,24.0,6.0,1265.11,0.92224,19.7202,1604.18,93.1511,43129.2,1776412196.5768912
140.0,24.0,8.0,1114.16,0.93278,19.7202,1907.02,115.055,48991.3,1776412196.5768912
140.0,24.0,10.0,1000.0,0.93968,19.7202,2210.04,136.974,54558.3,1776412196.5768912
140.0,28.0,2.0,1666.1,0.8851,19.7202,1078.09,53.3835,32368.8,1776412196.5768912
140.0,28.0,4.0,1390.77,0.91012,19.7202,1380.2,75.2422,39039.1,1776412196.5768912
140.0,28.0,6.0,1205.37,0.92476,19.7202,1682.57,97.1285,45214.4,1776412196.5768912
140.0,28.0,8.0,1093.64,0.93482,19.7202,1985.79,119.051,51046.7,1776412196.5768912
140.0,28.0,10.0,969.006,0.94126,19.7202,2288.27,140.939,56555.6,1776412196.5768912
